player_id,name_first,name_last,hand,birthdate,country,gender
100644,Alexander,Zverev,R,19970420,GER,male
101404,Thomas,Muster,L,19671002,AUT,male
101962,Younes,El Aynaoui,R,19710912,MAR,male
102148,Fabrice,Santoro,R,19721209,FRA,male
102382,Julian,Knowle,L,19740429,AUT,male
102388,Simon,Aspelin,R,19740511,SWE,male
102434,Vincent,Spadea,R,19740719,USA,male
102783,Rainer,Schuettler,R,19760425,GER,male
102800,Nenad,Zimonjic,R,19760604,SRB,male
102821,Cecil,Mamiit,R,19760627,PHI,male
102830,Paulo,Carvallo,R,19760710,PAR,male
102839,Nicolas,Lapentti,R,19760813,ECU,male
102845,Carlos,Moya,R,19760827,ESP,male
102886,Frantisek,Cermak,R,19761114,CZE,male
102887,Ramon,Delgado,R,19761114,PAR,male
102905,Stefan,Koubek,L,19770102,AUT,male
102963,Robert,Lindstedt,R,19770319,SWE,male
102967,Marc,Gicquel,R,19770330,FRA,male
102999,Stefano,Galvani,R,19770603,ITA,male
103017,Nicolas,Kiefer,R,19770705,GER,male
103035,Alessio,Di Mauro,L,19770809,ITA,male
103043,Coenie,Van Wyk,R,19770831,RSA,male
103077,Konstantinos,Economidis,R,19771102,GRE,male
103096,Arnaud,Clement,R,19771217,FRA,male
103103,Dominik,Hrbaty,R,19780104,SVK,male
103105,Ruben,Ramirez Hidalgo,R,19780106,ESP,male
103109,Talal,Ouahabi,R,19780108,MAR,male
103110,Daniele,Bracciali,R,19780110,ITA,male
103163,Tommy,Haas,R,19780403,GER,male
103165,Gorka,Fraile,R,19780407,ESP,male
103169,Oscar,Hernandez,R,19780410,ESP,male
103174,Noam,Okun,R,19780416,ISR,male
103188,Michael,Russell,R,19780501,USA,male
103206,Sebastien,Grosjean,R,19780529,FRA,male
103228,Marcos,Daniel,R,19780704,BRA,male
103229,Kornel,Bardoczky,R,19780705,HUN,male
103240,Kevin,Kim,R,19780726,USA,male
103248,Harel,Levy,R,19780805,ISR,male
103252,Alberto,Martin,R,19780820,ESP,male
103285,Radek,Stepanek,R,19781127,CZE,male
103286,Yohny,Romero,R,19781130,VEN,male
103292,Gaston,Gaudio,R,19781209,ARG,male
103294,Christophe,Rochus,R,19781215,BEL,male
103333,Ivo,Karlovic,R,19790228,CRO,male
103344,Ivan,Ljubicic,R,19790319,CRO,male
103393,Yuri,Schukin,R,19790626,KAZ,male
103395,Julio,Silva,R,19790701,BRA,male
103401,Jan,Hernych,R,19790707,CZE,male
103427,Yew Ming,Si,U,19790824,MAS,male
103428,Juan Ignacio,Chela,R,19790830,ARG,male
103429,Peter,Luczak,R,19790831,AUS,male
103444,Jean Rene,Lisnard,R,19790925,MON,male
103451,Bjorn,Phau,R,19791004,GER,male
103454,Nicolas,Massu,R,19791010,CHI,male
103470,Robert,Kendrick,R,19791115,USA,male
103472,Karim,Maamoun,R,19791118,EGY,male
103484,James,Blake,R,19791228,USA,male
103490,Santiago,Ventura,R,19800105,ESP,male
103499,Aqeel,Khan,R,19800130,PAK,male
103506,Martin,Vassallo Arguello,R,19800210,ARG,male
103507,Juan Carlos,Ferrero,R,19800212,ESP,male
103514,Young Jun,Kim,R,19800223,KOR,male
103523,Rohan,Bopanna,R,19800304,IND,male
103525,Ivan,Miranda,R,19800308,PER,male
103529,Aisam Ul Haq,Qureshi,R,19800317,PAK,male
103531,Thomas,Oger,U,19800322,MON,male
103534,Nicolas,Devilder,L,19800325,FRA,male
103535,Olivier,Patience,R,19800325,FRA,male
103543,David,Marrero,R,19800408,ESP,male
103544,Andy,Ram,R,19800410,ISR,male
103565,Stephane,Robert,R,19800517,FRA,male
103566,Michael,Llodra,L,19800518,FRA,male
103573,Rik,De Voest,R,19800605,RSA,male
103577,Christopher,Kas,R,19800613,GER,male
103580,Alexander,Peya,R,19800627,AUT,male
103582,Michael,Berrer,L,19800701,GER,male
103586,Mariusz,Fyrstenberg,L,19800708,POL,male
103594,Oliver,Marach,R,19800716,AUT,male
103598,Xavier,Malisse,R,19800719,BEL,male
103600,Mohammad,Ghareeb,R,19800722,KUW,male
103602,Fernando,Gonzalez,R,19800729,CHI,male
103607,Victor,Estrella,R,19800802,DOM,male
103630,Martijn,Van Haasteren,R,19800912,AHO,male
103638,Jhonson,Garcia,R,19801001,DOM,male
103656,Albert,Montanes,R,19801126,ESP,male
103657,Ivo,Klec,R,19801128,SVK,male
103668,Lazar,Magdincev,R,19801215,MKD,male
103672,Ricardo,Mello,L,19801221,BRA,male
103675,Diego,Junqueira,L,19801228,ARG,male
103676,Michael,Yani,R,19801231,USA,male
103682,Kyu Tae,Im,R,19810106,KOR,male
103690,Marcin,Matkowski,R,19810115,POL,male
103693,Thierry,Ascione,R,19810117,FRA,male
103694,Olivier,Rochus,R,19810118,BEL,male
103708,Jaroslav,Pospisil,R,19810209,CZE,male
103709,Kristian,Pless,R,19810209,DEN,male
103714,Andreas,Vinciguerra,L,19810219,SWE,male
103720,Lleyton,Hewitt,R,19810224,AUS,male
103722,Florent,Serra,R,19810228,FRA,male
103735,Lovro,Zovko,R,19810318,CRO,male
103739,Jose,De Armas,R,19810325,VEN,male
103746,Miguel,Gallardo Valles,R,19810408,MEX,male
103747,Dominik,Meffert,R,19810409,GER,male
103752,Simon,Greul,R,19810413,GER,male
103758,Taylor,Dent,R,19810424,USA,male
103760,Haluk,Akkoyun,R,19810425,TUR,male
103781,Jurgen,Melzer,L,19810522,AUT,male
103782,Rameez,Junaid,R,19810525,AUS,male
103786,Nikolay,Davydenko,R,19810602,RUS,male
103794,Benjamin,Becker,R,19810616,GER,male
103799,Eric,Prodon,R,19810627,FRA,male
103808,Potito,Starace,R,19810714,ITA,male
103812,Victor,Hanescu,R,19810721,ROU,male
103813,Jarkko,Nieminen,L,19810723,FIN,male
103819,Roger,Federer,R,19810808,SUI,male
103821,Danai,Udomchoke,R,19810811,THA,male
103823,Denis,Gremelmayr,L,19810816,GER,male
103835,Filippo,Volandri,R,19810905,ITA,male
103843,Marco,Chiudinelli,R,19810910,SUI,male
103850,Sebastian,Decoud,L,19810918,ARG,male
103851,Conor,Niland,R,19810919,IRL,male
103852,Feliciano,Lopez,L,19810920,ESP,male
